images,RECORDING_SESSION_LABEL,CURRENT_FIX_INDEX,CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_DURATION,CURRENT_FIX_PUPIL,CURRENT_FIX_START
Prostate3T-01-0027_14.jpg,ch_exp4,1,0.4846041666666668,0.4931510416666668,770,2484,7
Prostate3T-01-0027_14.jpg,ch_exp4,2,0.46559375000000003,0.4807812500000001,722,2743,786
Prostate3T-01-0027_14.jpg,ch_exp4,3,0.49189583333333325,0.4995312500000001,260,2978,1520
Prostate3T-01-0027_14.jpg,ch_exp4,4,0.5131197916666668,0.5115104166666666,424,2999,1788
Prostate3T-01-0027_14.jpg,ch_exp4,5,0.5516614583333335,0.4775260416666668,324,2985,2228
Prostate3T-01-0027_14.jpg,ch_exp4,6,0.5144218750000001,0.4680208333333334,265,2943,2561
Prostate3T-01-0027_14.jpg,ch_exp4,7,0.4399427083333333,0.448359375,323,2934,2846
Prostate3T-01-0027_14.jpg,ch_exp4,8,0.4076510416666667,0.460078125,259,2955,3180
Prostate3T-01-0027_14.jpg,ch_exp4,9,0.40192187499999993,0.5109895833333333,364,2944,3453
Prostate3T-01-0027_14.jpg,ch_exp4,10,0.46806770833333333,0.5355989583333334,291,2933,3836
Prostate3T-01-0027_14.jpg,ch_exp4,11,0.5627291666666668,0.5005729166666667,381,2961,4149
Prostate3T-01-0027_14.jpg,ch_exp4,12,0.5404635416666668,0.4425,236,2944,4545
Prostate3T-01-0027_14.jpg,ch_exp4,13,0.504265625,0.4378125000000001,310,2983,4791
Prostate3T-01-0027_14.jpg,ch_exp4,14,0.4516614583333333,0.4135937500000001,327,3036,5117
Prostate3T-01-0027_14.jpg,ch_exp4,15,0.3969739583333333,0.4195833333333335,365,3053,5464
Prostate3T-01-0027_14.jpg,ch_exp4,16,0.385125,0.51671875,277,3064,5852
Prostate3T-01-0027_14.jpg,ch_exp4,17,0.4071302083333333,0.5392447916666667,407,3077,6139
Prostate3T-01-0027_14.jpg,ch_exp4,18,0.5813489583333334,0.5600781250000001,332,3085,6581
Prostate3T-01-0027_14.jpg,ch_exp4,19,0.6103854166666667,0.5517447916666668,171,3076,6924
